id	label	x	y	cluster	Links	Total_link_strength	Occurrences	Avg_pub_year	Avg_citations	Avg_norm_citations
68	optimal value	0.178	-0.448	3	49.0	82.0	31.0	2013.3871	11.9355	0.4703
69	optimization algorithm	-0.3651	0.6532	3	105.0	622.0	216.0	2014.2407	60.7222	1.2778
70	optimization procedure	-0.2902	0.3211	3	70.0	160.0	54.0	2010.9259	37.8148	0.7272
71	optimization process	0.2113	0.4626	3	83.0	209.0	61.0	2014.0492	32.2131	1.1066
72	outcome	0.3746	-0.5399	2	74.0	175.0	57.0	2013.386	13.1053	0.6108
73	parameter estimation	-1.0152	-0.3379	1	66.0	167.0	44.0	2012.6364	34.4318	0.8652
74	particle swarm optimization	-0.0137	0.9854	3	78.0	218.0	77.0	2015.8831	60.013	1.9161
75	practical application	0.3316	0.56	4	66.0	138.0	36.0	2012.5	26.1111	1.0807
76	previous work	0.4513	-0.4204	2	59.0	105.0	34.0	2012.6765	45.4118	1.06
77	probability density function	-0.8373	-0.1806	1	66.0	156.0	56.0	2014.5179	25.8036	0.9907
78	proceeding	-1.079	0.1733	1	51.0	137.0	37.0	2005.3514	0.0	0.0
79	property	-0.1632	-0.1764	1	112.0	914.0	330.0	2011.6818	33.797	0.9265
80	proposed method	-0.0368	1.1856	3	39.0	74.0	29.0	2016.931	21.1379	1.161
81	real data	0.042	-0.777	4	54.0	79.0	32.0	2013.875	21.875	0.7158
82	real time	0.3614	-0.6936	4	57.0	93.0	31.0	2015.2581	18.1935	1.0931
83	reinforcement learning	0.3086	-0.1929	4	71.0	169.0	46.0	2020.5652	24.7609	1.3724
84	reliability analysis	-0.4825	0.876	3	67.0	167.0	49.0	2016.5306	21.3265	1.186
85	researcher	0.0717	0.3946	2	85.0	237.0	66.0	2015.1061	52.8182	2.2761
86	resource	0.5245	-0.0412	4	112.0	480.0	160.0	2015.1937	30.7312	1.4207
87	risk	0.5905	-0.2634	2	111.0	493.0	181.0	2015.1657	18.3481	0.8057
88	safety	0.3615	0.8342	3	74.0	201.0	57.0	2014.5439	12.5789	1.3364
89	sampling	-0.2516	-0.0437	1	95.0	274.0	92.0	2013.7826	39.0217	1.5777
90	scheduling	0.6654	0.0116	4	88.0	343.0	112.0	2015.7143	21.3214	0.8012
91	sensitivity analysis	0.8055	-0.2623	2	82.0	240.0	77.0	2014.5974	39.013	1.5441
92	signal	-0.7206	-0.5962	1	98.0	431.0	171.0	2010.9942	29.0409	0.8342
93	simulation result	0.4401	0.2954	4	85.0	306.0	117.0	2014.9573	16.4103	0.6502
94	simulation study	-1.2134	-0.0919	1	58.0	130.0	34.0	2012.7059	16.0	1.0128
95	software	-0.5984	0.1432	1	76.0	168.0	54.0	2014.2407	311.1481	1.8002
96	special case	-1.0276	-0.4792	1	50.0	98.0	35.0	2010.7429	29.2	0.935
97	stationary stochastic process	-1.0217	-0.1619	1	59.0	144.0	59.0	2009.7119	17.7627	0.623
98	statistic	-0.3827	-0.4421	1	101.0	327.0	123.0	2010.4309	54.8049	1.8017
99	stochastic approach	-0.1384	0.1803	3	58.0	104.0	35.0	2012.0286	16.1143	0.5349
100	stochastic differential equation	-0.3721	-0.8961	1	65.0	131.0	55.0	2015.9636	6.3636	0.3427
101	stochastic method	-0.2505	0.5765	3	48.0	86.0	31.0	2010.7419	43.1613	0.9573
102	stochastic nature	0.354	0.416	4	49.0	76.0	29.0	2016.931	21.7241	1.0152
103	stochastic optimization problem	0.2124	-0.8084	4	65.0	142.0	59.0	2011.9153	11.1186	0.4209
104	stochastic process model	-0.2166	0.4333	3	78.0	168.0	59.0	2012.3898	15.7458	0.9233
105	stochastic process theory	0.3009	1.0411	3	58.0	127.0	46.0	2014.6522	23.1957	0.8262
106	stochastic simulation	-0.7632	-0.3581	1	49.0	78.0	32.0	2011.375	17.4688	0.6928
107	stochastic system	-0.7012	-0.6681	1	67.0	152.0	51.0	2009.549	23.7451	0.6267
108	stochasticity	-0.3039	-0.2945	1	60.0	106.0	42.0	2014.3333	60.0	1.7883
109	storage	0.0718	-0.3854	4	74.0	144.0	55.0	2012.8364	26.2727	1.1496
110	success	0.4027	-0.1087	2	58.0	111.0	44.0	2013.2045	23.0455	1.0728
111	system performance	0.7955	-0.5185	2	54.0	103.0	31.0	2014.129	22.1935	1.6983
112	technology	0.1608	0.3501	4	101.0	399.0	115.0	2017.2783	16.3043	0.8923
113	time series	-0.748	-0.5449	1	69.0	175.0	62.0	2012.8871	28.3548	0.978
114	total cost	1.2084	-0.2858	2	48.0	107.0	31.0	2016.0323	28.9032	1.1823
115	training	-0.7063	0.7108	4	61.0	168.0	49.0	2018.3469	24.4286	1.413
116	treatment	0.0071	-0.5727	1	82.0	223.0	75.0	2012.08	28.0	1.0707
117	underlying stochastic process	0.1263	-0.7799	4	55.0	118.0	51.0	2015.549	26.5294	1.1993
118	variance	-0.2778	-0.368	1	94.0	361.0	126.0	2012.6032	23.4365	0.6341
